iter	RMSE
325	0.1273894603
326	0.1263313816
327	0.124900992
328	0.1236444447
329	0.1220796383
330	0.1214761613
331	0.120007022
332	0.1188670206
333	0.1181254075
334	0.1170372406
335	0.1163424464
336	0.1156019136
337	0.1149921488
338	0.1146634054
339	0.1143467609
340	0.113399443
341	0.1129632253
342	0.1126748668
343	0.1117651068
344	0.1099930757
345	0.1093859783
346	0.1087847907
347	0.1077424646
348	0.1061381058
349	0.1058867577
350	0.1047137205
351	0.1036344334
352	0.1033631137
353	0.1025744187
354	0.1020803574
355	0.1012135262
356	0.1008694096
357	0.0996605834
358	0.09892713407
359	0.09760499629
360	0.0970085935
361	0.09633118553
362	0.09584081576
363	0.09533816502
364	0.09501461309
365	0.09407921541
366	0.09343987461
367	0.0925398029
368	0.09192666264
369	0.09150387729
370	0.09064088495
371	0.0901707566
372	0.08934202692
373	0.0888374728
374	0.08825457424
375	0.08753117218
376	0.08640146974
377	0.08541185167
378	0.08516443581
379	0.08469861989
380	0.08400686305
381	0.08338664021
382	0.08294590361
383	0.08263484698
384	0.08221697989
385	0.08129138525
386	0.08075332817
387	0.0801184757
388	0.07923650292
389	0.07896669192
390	0.07762434578
391	0.0772323243
392	0.0766207694
393	0.07640733057
394	0.07559636113
395	0.07517013258
396	0.07439795003
397	0.0739878566
398	0.07340377726
399	0.07257650713
400	0.07200265892
401	0.07173268717
402	0.07130897969
403	0.07093733815
404	0.07069434272
405	0.07031247433
406	0.06957603612
407	0.06918981593
408	0.06894719585
409	0.06871706711
410	0.0683837728
411	0.06767919047
412	0.06731327038
413	0.06703267126
414	0.06669316785
415	0.0660167633
416	0.06582425451
417	0.0656488146
418	0.06492068803
419	0.0644488213
420	0.06379144657
421	0.06344113507
422	0.06318219662
423	0.06244893883
424	0.0617559029
425	0.06104110877
426	0.06088926198
427	0.06064920439
428	0.06006673762
429	0.05978971638
430	0.05918796842
431	0.05855466296
432	0.05789375717
433	0.05762656481
434	0.05741672678
435	0.05728765068
436	0.05696583701
437	0.05659743573
438	0.05571942824
439	0.05541925268
440	0.05507052755
441	0.0549370253
442	0.0546041473
443	0.0544770137
444	0.05388648271
445	0.05332279703
446	0.05319991404
447	0.05273077746
448	0.05243635768
449	0.05231878199
450	0.0522077833
451	0.05210035522
452	0.05150112541
453	0.05121698203
454	0.05065741886
455	0.05037765931
456	0.04986010578
457	0.0495995084
458	0.04911766826
459	0.04865987267
460	0.04820840546
461	0.04777035337
462	0.0474986724
463	0.04723038473
464	0.04710937776
465	0.04685941788
466	0.04635708816
467	0.04625078258
468	0.04614278429
469	0.04564824809
470	0.04553994836
471	0.04506738243
472	0.04484824098
473	0.04447881258
474	0.0443233463
475	0.04397226441
476	0.04384811572
477	0.0435816972
478	0.04336866049
479	0.043261736
480	0.04312090952
481	0.04291664652
482	0.04280574405
483	0.04246674541
484	0.04233753591
485	0.04201498961
486	0.04189013146
487	0.04170609437
488	0.0412282192
489	0.04081598738
490	0.04069554491
491	0.04031187639
492	0.03994221658
493	0.03983865919
494	0.03964494246
495	0.03940098008
496	0.03922401211
497	0.03905537585
498	0.03870099215
499	0.03845914682
500	0.03834315465
501	0.03812635266
502	0.03769830668
503	0.03757849656
504	0.03737116109
505	0.03698983549
506	0.03674439402
507	0.03663185615
508	0.03643444704
509	0.03632772819
510	0.03599913235
511	0.03563168375
512	0.03547532966
513	0.03516119876
514	0.03501903541
515	0.03490693493
516	0.03460300391
517	0.03431876425
518	0.03422371178
519	0.0339532235
520	0.03372827046
521	0.03343619354
522	0.03325996056
523	0.03311541426
524	0.03292299506
525	0.03271352406
526	0.03251715344
527	0.03238318734
528	0.03224402248
529	0.03208908207
530	0.0318242108
531	0.03173848954
532	0.03146549433
533	0.03122349964
534	0.0310294058
535	0.03083543677
536	0.03073766781
537	0.03049345383
538	0.03020172703
539	0.03011921775
540	0.02989709887
541	0.02981966746
542	0.02958441765
543	0.02950991287
544	0.02942392874
545	0.0293288944
546	0.02907228511
547	0.02894317602
548	0.02887166679
549	0.02871701273
550	0.02845515478
551	0.02838618514
552	0.02816669773
553	0.02804648086
554	0.02795426994
555	0.02785037901
556	0.02778362328
557	0.0276329696
558	0.02755077706
559	0.02739283015
560	0.02725899993
561	0.02719473695
562	0.02710828359
563	0.02697987419
564	0.02683010068
565	0.02676868128
566	0.02662956469
567	0.02649675621
568	0.02641605904
569	0.02635722864
570	0.02624142946
571	0.02609606547
572	0.02587581094
573	0.02581930912
574	0.02557724184
575	0.02549117218
576	0.02527439918
577	0.02516398255
578	0.0251123646
579	0.02500691959
580	0.02495775809
581	0.02490532007
582	0.02469584773
583	0.02459389186
584	0.02446704149
585	0.02436922985
586	0.02429614705
587	0.02425045164
588	0.02415676172
589	0.02407499796
590	0.02387333211
591	0.02378276361
592	0.02373562117
593	0.02363440517
594	0.02356360928
595	0.02337050103
596	0.0232832151
597	0.02321496445
598	0.02311742834
599	0.0230336668
600	0.02296835358
601	0.02280484541
602	0.02264505016
603	0.02246699975
604	0.02235240886
605	0.02230579812
606	0.02214868099
607	0.02209305042
608	0.02197989923
609	0.02182969766
610	0.02165208134
611	0.02156152212
612	0.02146876421
613	0.02131017748
614	0.02120065658
615	0.02111000494
616	0.0209026326
617	0.02081715315
618	0.02076115369
619	0.02067954714
620	0.02062609024
621	0.02041897273
622	0.02032593376
623	0.02015389526
624	0.0200912727
625	0.02000383005
626	0.01984539049
627	0.01979449234
628	0.01963686831
629	0.01946259372
630	0.01931894473
631	0.01923465924
632	0.01909000529
633	0.0190422816
634	0.01896888657
635	0.01883987314
636	0.01869128871
637	0.01855976585
638	0.01847610092
639	0.01843710582
640	0.01831091659
641	0.01824206983
642	0.01816726199
643	0.01812147648
644	0.01804449267
645	0.0178742753
646	0.01781804464
647	0.01778908229
648	0.01766653906
649	0.01763979734
650	0.01749792553
651	0.01744965639
652	0.01741457057
653	0.0172871936
654	0.01715745141
655	0.0171114365
656	0.01698915693
657	0.01692280837
658	0.01679176063
659	0.01673553466
660	0.01665826443
661	0.01660091853
662	0.01652696662
663	0.01650076339
664	0.01639384343
665	0.01627392898
666	0.01624889646
667	0.01618207123
668	0.01605022577
669	0.01600967423
670	0.01591499627
671	0.01587624258
672	0.0157621093
673	0.01564131981
674	0.01557949116
675	0.01551924909
676	0.0153328574
677	0.01529704434
678	0.01523877351
679	0.01503057859
680	0.01500609663
681	0.0149829366
682	0.01492670095
683	0.01484185054
684	0.01478882903
685	0.01472645474
686	0.01464570794
687	0.01458972053
688	0.01449854219
689	0.01444599594
690	0.01440700195
691	0.01434604525
692	0.01429666451
693	0.01425964217
694	0.01417507503
695	0.01411495155
696	0.01406901998
697	0.01389345779
698	0.01379318851
699	0.01369949746
700	0.01356569117
701	0.01354404457
702	0.01343656878
703	0.01331233012
704	0.01325459365
705	0.01323222496
706	0.01311428658
707	0.01308066129
708	0.01303025842
709	0.01299816252
710	0.01296017588
711	0.01291214717
712	0.01288141709
713	0.01279696441
714	0.01276388432
715	0.01273567372
716	0.01269993584
717	0.01267028943
718	0.01258895731
719	0.01255709937
720	0.01252864337
721	0.0124516522
722	0.01241380104
723	0.0123219059
724	0.01223787314
725	0.01217172877
726	0.01212338265
727	0.01209101952
728	0.01200523367
729	0.01198768044
730	0.01193166921
731	0.01191004259
732	0.01183383831
733	0.01177124234
734	0.01168031974
735	0.01162030652
736	0.01151997172
737	0.01148763928
738	0.01145710163
739	0.01138737589
740	0.0113122985
741	0.01123730229
742	0.01118665797
743	0.01115990527
744	0.0110883883
745	0.01105694038
746	0.0109859964
747	0.01091939738
748	0.01082523498
749	0.01079587091
750	0.01076968346
751	0.01070636127
752	0.01069083934
753	0.0106155382
754	0.01052532577
755	0.01049688424
756	0.010413242
757	0.0103753199
758	0.01034802376
759	0.01025839669
760	0.01023583514
761	0.01021150322
762	0.01016155947
763	0.01013834543
764	0.01009760596
765	0.01001332567
766	0.009934502966
767	0.009911945014
768	0.009858786619
769	0.009833813061
770	0.009787775208
771	0.009766070598
772	0.009730598501
773	0.009709894216
774	0.009676063131
775	0.009604557381
776	0.009584658106
777	0.009520381084
778	0.009501368042
779	0.009460576195
780	0.00941979017
781	0.009375386548
782	0.009304708659
783	0.009276904222
784	0.009209675956
785	0.00915615973
786	0.009117488341
787	0.009056649154
788	0.009030969251
789	0.008969582284
790	0.008935986507
791	0.008911479683
792	0.008883232546
793	0.008850238734
794	0.008791586293
795	0.008764411041
796	0.008710555734
797	0.008686837359
798	0.008665889366
799	0.008610766449
800	0.00859067311
801	0.008568010734
802	0.008548515584
803	0.008489438539
804	0.00843732441
805	0.008371828467
806	0.008343528502
807	0.008326274799
808	0.008264767885
809	0.008249666158
810	0.008207861183
811	0.008163175467
812	0.008113444761
813	0.008083176137
814	0.008068620785
815	0.008042415848
816	0.008004072019
817	0.007967978835
818	0.007920409211
819	0.007885957297
820	0.007840699053
821	0.007806633098
822	0.007777807775
823	0.007712942579
824	0.007685464535
825	0.00765784712
826	0.007610565387
827	0.007584812256
828	0.007551353932
829	0.007523800715
830	0.007502967488
831	0.007461555843
832	0.007436059378
833	0.007399619143
834	0.007380188618
835	0.007360173896
836	0.007336526857
837	0.00727189021
838	0.007229363899
839	0.007192492747
840	0.007134102687
841	0.007111597326
842	0.007092027585
843	0.007059298384
844	0.007044529168
845	0.006985596424
846	0.006965174822
847	0.006908094941
848	0.006873593034
849	0.006842886499
850	0.006787416594
851	0.006733727131
852	0.006704345397
853	0.006652427287
854	0.0066343685
855	0.006608880144
856	0.006559442297
857	0.006510224296
858	0.006481006777
859	0.006430303
860	0.006384299005
861	0.006356226977
862	0.006331323535
863	0.006306015609
864	0.006282643744
865	0.006258231483
866	0.006230759105
867	0.006205523649
868	0.006188130434
869	0.006161966006
870	0.006118486278
871	0.006084170629
872	0.006059032684
873	0.006036141846
874	0.006006584231
875	0.005975842181
876	0.005954306552
877	0.005932664747
878	0.005910383498
879	0.005880114031
880	0.005847688952
881	0.005827287158
882	0.005804667827
883	0.005768428673
884	0.005746835462
885	0.005727786977
886	0.00569754337
887	0.005664257091
888	0.005646406777
889	0.005636432013
890	0.005616163354
891	0.005588382208
892	0.005554856306
893	0.005524874322
894	0.005506542509
895	0.005474656462
896	0.005453146693
897	0.005435624238
898	0.005397782452
899	0.005369486064
900	0.005340929872
901	0.005323229078
902	0.005296759807
903	0.005279863216
904	0.005254996296
905	0.005244156396
906	0.005227934159
907	0.005201457282
908	0.005177977271
909	0.005153800382
910	0.005130831255
911	0.005089840514
912	0.005067172441
913	0.005045755373
914	0.005027446105
915	0.005005112161
916	0.004983730798
917	0.004959479786
918	0.004939134083
919	0.004906788545
920	0.00489178455
921	0.004873775212
922	0.004852436753
923	0.004830108657
924	0.004814443669
925	0.004791081566
926	0.004771903293
927	0.004761589356
928	0.004742287967
929	0.004710409569
930	0.004692535245
931	0.004658674837
932	0.004644002641
933	0.004623316756
934	0.004613676204
935	0.004596439134
936	0.00457906338
937	0.004554508386
938	0.004528676125
939	0.004511901733
940	0.004487262113
941	0.004472780789
942	0.004446440801
943	0.004426807294
944	0.004389891425
945	0.004382224416
946	0.004365589421
947	0.004349290374
948	0.004333372368
949	0.004325786656
950	0.004310248443
951	0.004291976316
952	0.00427171701
953	0.004258539808
954	0.004223218359
955	0.004207958806
956	0.00418950084
957	0.00418033162
958	0.004158824451
959	0.004124931748
960	0.004110247223
961	0.004101454388
962	0.004087936129
963	0.004073938211
964	0.004058612568
965	0.00403972921
966	0.004029729586
967	0.004007820857
968	0.00398700814
969	0.003963834052
970	0.003950164281
971	0.0039302129
972	0.003908380201
973	0.003876592226
974	0.003857841527
975	0.003834904627
976	0.003819731376
977	0.003807317517
978	0.003776511429
979	0.003763360011
980	0.003739830345
981	0.003728930163
982	0.003714905191
983	0.0037045098
984	0.00368628451
985	0.003668299793
986	0.003652182098
987	0.003629575159
988	0.003619479215
989	0.003609632082
990	0.003592004542
991	0.003576650701
992	0.003567256522
993	0.003549442424
994	0.003532970937
995	0.003524121693
996	0.003514435153
997	0.003505158041
998	0.003487982419
999	0.003474090894
